Videos.Title,Instructor,Videos.Duration,Videos.Difficulty,Videos.Tags.Name
DDPY - Stretch,DDP,21,2,Beginner; DDP LIVE; Holiday/ Novelty; 20 Minute Workouts
SYNERGY 40,DDP,49,2,Beginner; DDP LIVE; No Music; 40 Minute Workouts
Breathing 2.0,DDP,6,2,Beginner
Wake Up 2.0,DDP,11,2,Beginner
Energy 2.0,DDP,26,2,Beginner; 20 Minute Workouts
Fat Burner 2.0,DDP,33,2,Beginner; 30 Minute Workouts
Energy 2.0 Crib,DDP,28,2,Beginner; No Music; 20 Minute Workouts
Fat Burner at the Crib,DDP,32,2,Beginner; No Music; 30 Minute Workouts
Fire Power - Warriors Purpose ,DDP,51,3,Warriors Purpose: Stand Strong
Tomahawk - Warriors Purpose,DDP,52,4,Warriors Purpose: Stand Strong
 Abrams - Warriors Purpose,DDP,28,2,Warriors Purpose: Stand Strong
Hellfire - Warriors Purpose ,DDP,74,5,Warriors Purpose: Stand Strong
Huey  - Warriors Purpose ,DDP,36,2,Warriors Purpose: Stand Strong
Stinger - Warriors Purpose ,DDP,47,3,Warriors Purpose: Stand Strong
Ground Pounder - Warriors Purpose ,DDP,60,5,Warriors Purpose: Stand Strong
Humvee - Warriors Purpose ,DDP,28,2,Warriors Purpose: Stand Strong
Sidewinder - Warriors Purpose ,DDP,30,3,Warriors Purpose: Stand Strong
Howitzer - Warriors Purpose ,DDP,58,5,Warriors Purpose: Stand Strong
Recon - Warriors Purpose ,DDP,29,2,Warriors Purpose: Stand Strong
02.15.2022 LIVE w DDP,DDP,58,3,Intermediate; DDP LIVE; No Music; 50 Minute Workouts
Back & Buns 01,Payge McMahon,60,3,Intermediate; Payge McMahon; No Music; 50 Minute Workouts
07.24.2018 LIVE w/DDP,DDP,58,3,Intermediate; DDP LIVE; 50 Minute Workouts
Strength Builder 2.0,DDP,43,3,Intermediate
Stand Up 2.0,DDP,34,3,Intermediate; 30 Minute Workouts
Below The Belt 2.0,DDP,39,3,Intermediate; 30 Minute Workouts
Red Hot Core 2.0,DDP,13,3,Intermediate; 20 Minute Workouts
Stand Up V2 Crib,DDP,40,3,Intermediate; No Music; 30 Minute Workouts
10 Minute Warm Up ,DDP,12,3,Intermediate
Hips Back and Knees Tutorial,DDP,31,3,Intermediate; Hip Back and Knee Opener; 30 Minute Workouts
Red Hot Core+,DDP,17,3,Intermediate; 20 Minute Workouts
HipRx 01,DDP,14,1,DDPY PT: HipRx
HipRx 02,DDP,18,1,DDPY PT: HipRx
HipRx 03,DDP,27,2,DDPY PT: HipRx
HipRx 04,DDP,28,2,DDPY PT: HipRx
HipRx 05,DDP,36,2,DDPY PT: HipRx
1 on 1 with Haydn - Advanced,Haydn Walden,29,4,Advanced; No Music; Haydn Walden; 20 Minute Workouts
12.12.2017 LIVE w/ DDP,DDP,38,4,Advanced; DDP LIVE; 40 Minute Workouts
Diamond Cutter 2.0,DDP,57,4,Advanced
Double Black Diamond 2.0,DDP,66,4,Advanced
Shoulder Burn,DDP,29,4,Advanced; DDP LIVE; BONUS DVDs; 20 Minute Workouts
Hips Back and Knees Workout,DDP,39,4,Advanced
The Black Crow Workout,DDP,32,4,Advanced; DDP LIVE; EXTREME 3.0; 30 Minute Workouts
Virginia Cavaliers,DDP,62,4,Advanced; DDP LIVE; 60+ Minute Workouts
Renew - Bed 1 (Low Back Pain),DDP,16,1,DDPY PT: Back Builder
Restore - Bed 2 (Low Back Pain),DDP,19,1,DDPY PT: Back Builder
Back Builder 1+ Intro (Low Back Pain),DDP,29,1,DDPY PT: Back Builder
Back Builder 2 (Low Back Pain),DDP,29,1,DDPY PT: Back Builder
Back Builder 3 (Low Back Pain),DDP,32,1,DDPY PT: Back Builder
Chair and Standing,DDP,36,1,Chair Force Standing; DDP LIVE; 30 Minute Workouts
Chair to Standing Tutorial,DDP,32,1,Chair Force Standing; DDPY Rebuild: Chair Force
Breathing Classic,DDP,3,1,DDPY Classics
Wake Up Classic,DDP,11,1,DDPY Classics
Diamond Dozen Classic,DDP,32,2,DDPY Classics
Energy Classic,DDP,24,2,DDPY Classics
Fat Burner Classic,DDP,27,2,DDPY Classics
Below The Belt Classic,DDP,31,3,DDPY Classics
Red Hot Core Classic,DDP,15,3,DDPY Classics
Stand Up Classic,DDP,31,3,DDPY Classics
Mix Tape Classic,DDP,35,3,DDPY Classics
Strength Builder Classic,DDP,41,4,DDPY Classics
Diamond Cutter Classic,DDP,53,4,DDPY Classics
Double Black Diamond Classic,DDP,69,4,DDPY Classics
DDPY 4 KIDZ - Fun And Energy!,DDP,33,3,DDPY 4 Kids
DDPY 4 KIDZ - Beginner,DDP,28,2,DDPY 4 Kids
DDPY 4 KIDZ - Extreme,DDP,43,4,DDPY 4 Kids
Anchor Points w DDP,DDP,54,3,DDP LIVE; Hip Back and Knee Opener; 50 Minute Workouts
Celebrate Strength w DDP,DDP,39,3,DDP LIVE; Hip Back and Knee Opener; 30 Minute Workouts
Main Event w DDP,DDP,64,4,DDP LIVE; 60+ Minute Workouts
PowerCuffs - Shoulders & Legs 02,DDP,50,4,DDP LIVE; 50 Minute Workouts; POWERCUFFS
2024 Positively Unstoppable Workout w DDP: Part 2,DDP,36,3,DDP LIVE; 30 Minute Workouts
2024 Positively Unstoppable Workout w DDP: Part 1,DDP,38,3,DDP LIVE; Hip Back and Knee Opener; 30 Minute Workouts
Xtra Red Hot Core w DDP & Payge,Payge McMahon,24,3,DDP LIVE; 20 Minute Workouts
Xtra Red Hot Core w DDP & Payge,DDP,24,3,DDP LIVE; 20 Minute Workouts
Otemanu Flex w DDP & Payge,Payge McMahon,32,3,DDP LIVE; 30 Minute Workouts
Otemanu Flex w DDP & Payge,DDP,32,3,DDP LIVE; 30 Minute Workouts
PowerCuffs - Biceps & Triceps 02,DDP,32,3,DDP LIVE; 30 Minute Workouts; POWERCUFFS
Power Up in Paradise w DDP & Payge,Payge McMahon,41,3,DDP LIVE; 40 Minute Workouts
Power Up in Paradise w DDP & Payge,DDP,41,3,DDP LIVE; 40 Minute Workouts
Power Surge w DDP,DDP,36,3,DDP LIVE; 30 Minute Workouts
Power Circuit w DDP,DDP,42,3,DDP LIVE; 40 Minute Workouts
360 Build w DDP,DDP,41,3,DDP LIVE; 40 Minute Workouts
Even Flow w DDP,DDP,37,3,DDP LIVE; 30 Minute Workouts
Targeted Energy w DDP,DDP,32,2,DDP LIVE; 30 Minute Workouts
Center Mass w DDP,DDP,34,3,DDP LIVE; 30 Minute Workouts
2023 Positively Unstoppable Workout w DDP,DDP,49,3,DDP LIVE; 40 Minute Workouts
Sleigh the Day w DDP,DDP,34,2,DDP LIVE; 30 Minute Workouts
Sunset Stretch w DDP,DDP,29,2,DDP LIVE; 20 Minute Workouts
Live Wire w DDP,DDP,37,3,DDP LIVE; 30 Minute Workouts
Full Throttle w DDP,DDP,36,3,DDP LIVE; 30 Minute Workouts
PowerCuffs - Chest & Back 02,DDP,31,3,DDP LIVE; 30 Minute Workouts; POWERCUFFS
Joint Action w DDP,DDP,33,2,DDP LIVE; 30 Minute Workouts
PowerCuffs - Beginner Biceps & Triceps 01,DDP,22,2,DDP LIVE; 20 Minute Workouts; POWERCUFFS
PowerCuffs - Beginner Chest & Back 01,DDP,22,2,DDP LIVE; 20 Minute Workouts; POWERCUFFS
PowerCuffs - Beginner Shoulders & Legs 01,DDP,21,2,DDP LIVE; 20 Minute Workouts; POWERCUFFS
PowerCuffs Cooldown,DDP,26,2,DDP LIVE; 20 Minute Workouts; POWERCUFFS
Body Work w DDP,DDP,33,3,DDP LIVE; 30 Minute Workouts
PowerCuffs Warmup,DDP,13,2,DDP LIVE; Warm Up; POWERCUFFS
PowerCuffs - Biceps & Triceps 01,DDP,35,3,DDP LIVE; 30 Minute Workouts; POWERCUFFS
