Wake Up Classic ,DDP,11,1
Bed Flex II ,DDP,14,1
Bed Flex I ,DDP,15,1
Chair Force I ,DDP,16,1
Chair Warrior I (17min) ,DDP,16,1
Reveille I - Warriors Purpose ,DDP,18,1
Bed Flex III ,DDP,18,1
Reveille II - Warriors Purpose ,DDP,21,1
 Reaper I - Warriors Purpose ,DDP,21,1
Chair Force II ,DDP,21,1
Stand Strong I ,DDP,21,1
Reaper II - Warriors Purpose ,DDP,22,1
Salute - Warriors Purpose ,DDP,23,1
Chair Force III ,DDP,23,1
Stand Strong II ,DDP,23,1
Revielle IV - Warriors Purpose ,DDP,24,1
Chair Force IV ,DDP,24,1
Chair Warrior I (Extended: 25min) ,DDP,24,1
Chair Force V ,DDP,25,1
Infill - Warriors Purpose ,DDP,28,1
Mod Squad ,DDP,28,1
Reveille III - Warriors Purpose ,DDP,31,1
Reaper III - Warriors Purpose ,DDP,31,1
Reaper IV - Warriors Purpose ,DDP,32,1
Chair to Standing Tutorial ,DDP,32,1
Stand Strong III ,DDP,32,1
Stand Strong IV ,DDP,35,1
Double Time - Warriors Purpose ,DDP,36,1
Chair and Standing ,DDP,36,1
02.05.2019 LIVE w/ DDP ,DDP,37,1
04.25.2017 LIVE w/ DDP ,DDP,40,1
Diamond Dozen 2.0 Compilation ,DDP,45,1
D.D. Stand Strong Compilation ,DDP,49,1
D.D. Chair Force Compilation ,DDP,52,1
B.B. Compilation ,DDP,56,1
01.25.2017 LIVE w/ DDP ,DDP,58,1
1 on 1 with Haydn - Beginner ,Haydn Walden,27,1
04.30.2019 LIVE w/ Haydn ,Haydn Walden,32,1
12.11.2018 LIVE w/ Haydn ,Haydn Walden,58,1
02.25.2020 LIVE w/ King ,King Warren,33,1
06.22.2016 LIVE w/ Stevie ,Stevie Richards,30,1
01.21.2020 LIVE w/ Arinitra ,Arinitra Chandler,42,2
12.10.2019 LIVE w/ Arinitra ,Arinitra Chandler,42,2
01.28.2020 LIVE w/ Arinitra ,Arinitra Chandler,44,2
09.17.2019 LIVE w/ Arinitra ,Arinitra Chandler,63,2
02.18.2020 LIVE w/ Arinitra ,Arinitra Chandler,66,2
12.03.2019 LIVE w/ Christina ,Christina Russell,33,2
04.17.2018 LIVE w/ Christina ,Christina Russell,42,2
06.26.2018 LIVE w/ Dave Orth ,Dave Orth,50,2
"Hips, Back, Knees, and Shoulders ",DDP,10,2
Wake Up 2.0 ,DDP,11,2
Roadtrip Edition: 10 min Warmup ,DDP,14,2
NXT Warmup w/ DDP ,DDP,15,2
11.27.2018 LIVE w/ DDP ,DDP,20,2
DDPY - Stretch ,DDP,21,2
DDPY Stretch w Dallas and Payge ,DDP,21,2
09.20.2022 Road Workout w DDP and Payge ,DDP,22,2
Road Workout w DDP 08.23.2022 ,DDP,24,2
Energy Classic ,DDP,24,2
Energy 2.0 ,DDP,26,2
Fat Burner Classic ,DDP,27,2
Energy 2.0 Crib ,DDP,28,2
07.26.2022 LIVE w DDP ,DDP,28,2
Salute the Road Warrior ,DDP,28,2
DDPY 4 KIDZ - Beginner ,DDP,28,2
Chair Warrior II ,DDP,28,2
 Abrams - Warriors Purpose ,DDP,28,2
Humvee - Warriors Purpose ,DDP,28,2
11.06.2018 LIVE w/ DDP ,DDP,29,2
Recon - Warriors Purpose ,DDP,29,2
"Low Blow, Easy Flow ",DDP,31,2
Fat Burner at the Crib ,DDP,32,2
Diamond Dozen Classic ,DDP,32,2
Chair Warrior III ,DDP,32,2
Fat Burner 2.0 ,DDP,33,2
02.02.2021 LIVE w DDP ,DDP,33,2
01.12.2021 LIVE w/ DDP ,DDP,33,2
Chair Warrior IV ,DDP,33,2
02.28.2017 LIVE w/ DDP ,DDP,34,2
Chair Warrior with Jake The Snake ,DDP,35,2
JACKED Back & Biceps 01 ,DDP,36,2
Huey - Warriors Purpose ,DDP,36,2
12.15.2020 LIVE w/ DDP ,DDP,37,2
03.07.2017 LIVE w/ DDP ,DDP,37,2
07.13.2021 LIVE w DDP ,DDP,39,2
09.14.2021 LIVE w DDP ,DDP,42,2
04.13.2021 LIVE w/ DDP ,DDP,42,2
Road Workout w DDP - 09.06.2022 ,DDP,45,2
Roadtrip Edition: Full Body ,DDP,45,2
06.08.2021 LIVE w/ DDP ,DDP,46,2
07.20.2021 LIVE w DDP ,DDP,48,2
SYNERGY 40 ,DDP,49,2
10.02.2018 LIVE w/ DDP ,DDP,52,2
01.02.2018 LIVE w/ DDP ,DDP,54,2
03.28.2017 LIVE w/ DDP ,DDP,54,2
A Bit of Everything ,DDP,56,2
07.08.2017 LIVE to FB w/ DDP ,DDP,56,2
01.15.2019 LIVE w/ DDP ,DDP,57,2
01.01.2019 LIVE w/ DDP ,DDP,57,2
05.30.2017 LIVE w/ DDP ,DDP,57,2
03.14.2017 LIVE w/ DDP ,DDP,57,2
11.13.2018 LIVE w/ DDP ,DDP,58,2
04.24.2018 LIVE w/ DDP ,DDP,58,2
08.29.2017 LIVE w/ DDP ,DDP,58,2
07.04.2017 LIVE w/ DDP ,DDP,58,2
06.20.2017 LIVE w/ DDP ,DDP,58,2
07.10.2018 LIVE w/ DDP ,DDP,59,2
09.11.2018 LIVE w/ DDP ,DDP,61,2
05.28.2019 LIVE w/ DDP ,DDP,63,2
08.03.2019 LIVE to FB w/ DDP ,DDP,65,2
09.09.2016 LIVE w/ DDP ,DDP,66,2
Stand Up with Big G! ,Garett Sakahara,38,2
11.05.2019 LIVE w/ Garett ,Garett Sakahara,47,2
05.15.2018 LIVE w/ Garett ,Garett Sakahara,57,2
03.19.2019 LIVE w/ Garett ,Garett Sakahara,63,2
11.28.2017 LIVE w/ Garett ,Garett Sakahara,65,2
11.14.2017 LIVE w/ Garett ,Garett Sakahara,69,2
10.17.2017 LIVE w/ Haydn ,Haydn Walden,53,2
10.03.2017 LIVE w/ Haydn ,Haydn Walden,55,2
05.09.2017 LIVE w/ Haydn ,Haydn Walden,59,2
02.12.2019 LIVE w/ Haydn ,Haydn Walden,61,2
09.10.2019 LIVE w/ Haydn ,Haydn Walden,62,2
06.11.2019 LIVE w/ Haydn ,Haydn Walden,62,2
07.30.2019 LIVE w/ Haydn ,Haydn Walden,63,2
06.19.2018 LIVE w/ Haydn ,Haydn Walden,63,2
08.04.2020 LIVE w Jim Mabes ,Jim Mabes,52,2
11.07.2017 LIVE w/ Jim ,Jim Mabes,63,2
04.09.2019 LIVE w/ Jim ,Jim Mabes,66,2
Hot Chili ,Jim Mabes,66,2
09.24.2019 LIVE w/ Jim ,Jim Mabes,69,2
03.08.2022 LIVE w Josh ,Josh ,21,2
03.22.2022 LIVE w Josh ,Josh ,27,2
03.01.2022 LIVE w Josh ,Josh ,62,2
02.11.2020 LIVE w/ King ,King Warren,34,2
10.22.2019 LIVE w/ King ,King Warren,45,2
02.04.2020 LIVE w/ King ,King Warren,46,2
12.17.2019 LIVE w/ Paal ,Paal ,29,2
07.23.2019 LIVE w/ Pat ,Pat McDermott,36,2
07.09.2019 LIVE w/ Pat ,Pat McDermott,38,2
09.27.22 LIVE w Payge ,Payge McMahon,28,2
Roadtrip Edition: Stretching ,Payge McMahon,30,2
08.30.2022 LIVE w Scott French ,Scott French ,37,2
05.29.2018 LIVE w/ Yoga Doc ,Yoga Doc,30,2
11.21.2017 LIVE w/ Bobby ,Bobby ,61,3
12.26.2017 LIVE w/ Christina ,Christina Russell,38,3
12.25.2018 LIVE w/ Christina ,Christina Russell,39,3
DDPY 4 Mamas (Prenatal) ,Christina Russell,43,3
03.06.2018 LIVE w/ Christina ,Christina Russell,56,3
